                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 1.3098,                0.93245,                0.92743,                0.49366,                0.38137,                0.39348,                0.23417,                 1.2988,                 0.9466,                0.92947,               0.003961,               0.003961,               0.003961
                     63,                 1.3151,                0.93542,                0.92612,                0.48903,                0.38331,                0.39165,                0.23452,                 1.2991,                0.94748,                0.92928,               0.003862,               0.003862,               0.003862
                     64,                 1.3094,                0.92718,                0.92635,                0.48953,                0.38103,                0.39074,                0.23324,                 1.2999,                0.94658,                0.92938,               0.003763,               0.003763,               0.003763
                     65,                 1.3149,                0.93006,                0.92515,                0.50005,                0.37699,                0.39149,                0.23312,                 1.3002,                0.94318,                0.92887,               0.003664,               0.003664,               0.003664
                     66,                 1.3061,                0.92202,                0.92422,                0.49199,                0.37788,                0.39016,                0.23342,                  1.297,                0.94315,                0.92887,               0.003565,               0.003565,               0.003565
                     67,                 1.3098,                0.92536,                0.92512,                 0.5062,                0.37436,                0.39191,                0.23505,                 1.2972,                0.94093,                0.92912,               0.003466,               0.003466,               0.003466
                     68,                    1.3,                0.91638,                0.92403,                0.50597,                0.37472,                0.39314,                0.23539,                 1.2952,                0.93976,                 0.9278,               0.003367,               0.003367,               0.003367
                     69,                 1.3031,                0.91736,                 0.9229,                0.50744,                0.37225,                0.39345,                0.23574,                  1.298,                0.94136,                0.92914,               0.003268,               0.003268,               0.003268
                     70,                 1.2951,                0.91296,                0.92149,                0.51624,                0.37323,                0.39411,                0.23489,                 1.2987,                0.93971,                0.92894,               0.003169,               0.003169,               0.003169
                     71,                 1.3019,                0.91207,                0.92259,                0.50863,                0.37511,                0.39368,                0.23525,                 1.2968,                0.93838,                0.92719,                0.00307,                0.00307,                0.00307
                     72,                 1.3034,                0.91355,                 0.9214,                0.50764,                0.37641,                0.39372,                0.23595,                 1.2945,                0.93861,                0.92713,               0.002971,               0.002971,               0.002971
